"filename", "language", "JSON with Comments", "TypeScript", "JSON", "MS SQL", "Markdown", "YAML", "JavaScript", "comment", "blank", "total"
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\projects\projects.service.ts", "TypeScript", 0, 223, 0, 0, 0, 0, 0, 19, 23, 265
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\roles\dto\create-role.dto.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\roles\dto\update-role.dto.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\roles\entities\role.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\roles\roles.controller.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 1, 7, 43
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\roles\roles.module.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\roles\roles.service.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 2, 7, 34
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\users\dto\create-user.dto.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 1, 7, 53
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\users\dto\update-user.dto.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\users\entities\user.entity.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\users\users.controller.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 1, 5, 20
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\users\users.controller.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 1, 7, 55
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\users\users.module.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 1, 2, 12
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\users\users.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 1, 5, 20
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\users\users.service.ts", "TypeScript", 0, 106, 0, 0, 0, 0, 0, 9, 14, 129
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\seeds\seed-constantes.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 17, 12, 108
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\seeds\seed-roles.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 1, 6, 26
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\shared\mailer\mailer.module.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 1, 2, 12
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\shared\mailer\mailer.service.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 10, 8, 71
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\test\app.e2e-spec.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\test\jest-e2e.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\tsconfig.build.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\tsconfig.json", "JSON with Comments", 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"Total", "-", 32, 4393, 17932, 191, 186, 17, 33, 768, 902, 24454
